model,train_Acc,train_AUC,test_Acc,test_AUC
Mean_PCC_ANOVA_35_SVM,0.683,0.7886,0.6611,0.7584
Mean_PCC_ANOVA_35_LDA,0.6897,0.7905,0.666,0.7576
Mean_PCC_ANOVA_35_AE,0.7364,0.8265,0.7001,0.7929
Mean_PCC_ANOVA_35_RF,1.0,1.0,0.7197,0.7995
Mean_PCC_ANOVA_35_LR,0.705,0.8061,0.6813,0.7774
Mean_PCC_ANOVA_35_AB,0.7098,0.8113,0.6766,0.7738
Mean_PCC_ANOVA_35_DT,1.0,1.0,0.6593,0.6311
Mean_PCC_ANOVA_35_NB,0.6249,0.736,0.6201,0.7187
Mean_PCC_ANOVA_36_SVM,0.6971,0.789,0.6687,0.7585
Mean_PCC_ANOVA_36_LDA,0.6902,0.7909,0.6689,0.7584
Mean_PCC_ANOVA_36_AE,0.7315,0.8255,0.6967,0.7901
Mean_PCC_ANOVA_36_RF,1.0,1.0,0.7156,0.8007
Mean_PCC_ANOVA_36_LR,0.7065,0.8066,0.6802,0.7777
Mean_PCC_ANOVA_36_AB,0.7166,0.8102,0.6841,0.7725
Mean_PCC_ANOVA_36_DT,1.0,1.0,0.6608,0.6328
Mean_PCC_ANOVA_36_NB,0.6166,0.7364,0.6159,0.719
Mean_PCC_ANOVA_37_SVM,0.7008,0.7898,0.6702,0.7594
Mean_PCC_ANOVA_37_LDA,0.6859,0.7916,0.6645,0.7593
Mean_PCC_ANOVA_37_AE,0.7544,0.8455,0.7163,0.7981
Mean_PCC_ANOVA_37_RF,1.0,1.0,0.7167,0.8009
Mean_PCC_ANOVA_37_LR,0.7064,0.8069,0.683,0.7777
Mean_PCC_ANOVA_37_AB,0.7166,0.8102,0.6841,0.7725
Mean_PCC_ANOVA_37_DT,1.0,1.0,0.6623,0.6346
Mean_PCC_ANOVA_37_NB,0.6191,0.7355,0.6171,0.7183
Mean_PCC_ANOVA_38_SVM,0.6932,0.7904,0.6651,0.7597
Mean_PCC_ANOVA_38_LDA,0.6854,0.7922,0.6621,0.7595
Mean_PCC_ANOVA_38_AE,0.7491,0.852,0.7086,0.8014
Mean_PCC_ANOVA_38_RF,1.0,1.0,0.7118,0.8021
Mean_PCC_ANOVA_38_LR,0.7094,0.8073,0.6815,0.7782
Mean_PCC_ANOVA_38_AB,0.7168,0.8116,0.6845,0.7752
Mean_PCC_ANOVA_38_DT,1.0,1.0,0.6706,0.6437
Mean_PCC_ANOVA_38_NB,0.6185,0.736,0.6159,0.7184
Mean_PCC_ANOVA_39_SVM,0.6941,0.7905,0.666,0.7599
Mean_PCC_ANOVA_39_LDA,0.6845,0.7922,0.6611,0.7595
Mean_PCC_ANOVA_39_AE,0.7381,0.8385,0.7022,0.795
Mean_PCC_ANOVA_39_RF,1.0,1.0,0.7107,0.8007
Mean_PCC_ANOVA_39_LR,0.7048,0.8075,0.6807,0.7784
Mean_PCC_ANOVA_39_AB,0.7085,0.8107,0.6773,0.7717
Mean_PCC_ANOVA_39_DT,1.0,1.0,0.6653,0.6382
Mean_PCC_ANOVA_39_NB,0.6208,0.7362,0.6165,0.7186
Mean_PCC_ANOVA_40_SVM,0.6943,0.7905,0.6655,0.7599
Mean_PCC_ANOVA_40_LDA,0.6845,0.7922,0.6611,0.7595
Mean_PCC_ANOVA_40_AE,0.7324,0.8311,0.6971,0.793
Mean_PCC_ANOVA_40_RF,1.0,1.0,0.7148,0.802
Mean_PCC_ANOVA_40_LR,0.7047,0.8075,0.68,0.7783
Mean_PCC_ANOVA_40_AB,0.7113,0.8123,0.676,0.7743
Mean_PCC_ANOVA_40_DT,1.0,1.0,0.6711,0.6451
Mean_PCC_ANOVA_40_NB,0.6161,0.7363,0.6148,0.7189
Mean_PCC_KW_1_SVM,0.6468,0.7234,0.6242,0.6837
Mean_PCC_KW_1_LDA,0.6468,0.7233,0.6242,0.6836
Mean_PCC_KW_1_AE,0.6467,0.7233,0.6242,0.6836
Mean_PCC_KW_1_RF,0.9925,0.9997,0.5933,0.614
Mean_PCC_KW_1_LR,0.6467,0.7233,0.6244,0.6836
Mean_PCC_KW_1_AB,0.64,0.7256,0.6148,0.6795
Mean_PCC_KW_1_DT,0.9924,0.9999,0.5939,0.5647
Mean_PCC_KW_1_NB,0.6794,0.6628,0.6566,0.6402
Mean_PCC_KW_2_SVM,0.6511,0.7252,0.6331,0.6847
Mean_PCC_KW_2_LDA,0.6576,0.7186,0.6344,0.6788
Mean_PCC_KW_2_AE,0.6653,0.7225,0.6425,0.6821
Mean_PCC_KW_2_RF,1.0,1.0,0.6252,0.6427
Mean_PCC_KW_2_LR,0.6675,0.7204,0.6429,0.6803
Mean_PCC_KW_2_AB,0.6627,0.7315,0.634,0.6872
Mean_PCC_KW_2_DT,1.0,1.0,0.6001,0.5693
Mean_PCC_KW_2_NB,0.6663,0.7151,0.6423,0.6773
Mean_PCC_KW_3_SVM,0.6549,0.7251,0.6342,0.6821
Mean_PCC_KW_3_LDA,0.6607,0.7239,0.6306,0.678
Mean_PCC_KW_3_AE,0.6441,0.7256,0.624,0.6823
Mean_PCC_KW_3_RF,1.0,1.0,0.6408,0.6743
Mean_PCC_KW_3_LR,0.6591,0.724,0.6306,0.6781
Mean_PCC_KW_3_AB,0.6667,0.7332,0.6446,0.6865
Mean_PCC_KW_3_DT,1.0,1.0,0.5982,0.5739
Mean_PCC_KW_3_NB,0.6429,0.7183,0.6178,0.6759
Mean_PCC_KW_4_SVM,0.6527,0.7369,0.6306,0.6984
Mean_PCC_KW_4_LDA,0.656,0.7355,0.631,0.6939
Mean_PCC_KW_4_AE,0.6516,0.7381,0.6342,0.6995
Mean_PCC_KW_4_RF,1.0,1.0,0.6743,0.7334
Mean_PCC_KW_4_LR,0.6635,0.7487,0.6387,0.7129
Mean_PCC_KW_4_AB,0.6989,0.7762,0.68,0.7474
Mean_PCC_KW_4_DT,1.0,1.0,0.631,0.6043
Mean_PCC_KW_4_NB,0.6675,0.7452,0.6446,0.7137
Mean_PCC_KW_5_SVM,0.6596,0.7429,0.6376,0.7053
Mean_PCC_KW_5_LDA,0.6613,0.7422,0.6417,0.7028
Mean_PCC_KW_5_AE,0.677,0.7631,0.6553,0.7329
Mean_PCC_KW_5_RF,1.0,1.0,0.6845,0.7424
Mean_PCC_KW_5_LR,0.668,0.7542,0.6485,0.7215
Mean_PCC_KW_5_AB,0.7042,0.7803,0.6879,0.754
Mean_PCC_KW_5_DT,1.0,1.0,0.6336,0.6065
Mean_PCC_KW_5_NB,0.6554,0.7417,0.6342,0.7092
Mean_PCC_KW_6_SVM,0.6615,0.7434,0.6376,0.7061
Mean_PCC_KW_6_LDA,0.6583,0.7424,0.6365,0.7033
Mean_PCC_KW_6_AE,0.6835,0.7647,0.6587,0.7354
Mean_PCC_KW_6_RF,1.0,1.0,0.6856,0.7498
Mean_PCC_KW_6_LR,0.6686,0.754,0.6493,0.7212
Mean_PCC_KW_6_AB,0.6918,0.7808,0.677,0.754
Mean_PCC_KW_6_DT,1.0,1.0,0.6372,0.6128
Mean_PCC_KW_6_NB,0.6561,0.7405,0.6331,0.7085
Mean_PCC_KW_7_SVM,0.6631,0.7557,0.6417,0.7219
Mean_PCC_KW_7_LDA,0.6673,0.7489,0.6468,0.7115
Mean_PCC_KW_7_AE,0.6636,0.7669,0.6429,0.7359
Mean_PCC_KW_7_RF,1.0,1.0,0.7086,0.7732
Mean_PCC_KW_7_LR,0.6748,0.7691,0.6536,0.7382
Mean_PCC_KW_7_AB,0.7147,0.7959,0.6975,0.7747
Mean_PCC_KW_7_DT,1.0,1.0,0.6559,0.6278
Mean_PCC_KW_7_NB,0.6632,0.7432,0.641,0.7148
Mean_PCC_KW_8_SVM,0.6537,0.7578,0.6312,0.7243
Mean_PCC_KW_8_LDA,0.6581,0.752,0.6355,0.7158
Mean_PCC_KW_8_AE,0.6773,0.7772,0.66,0.7508
Mean_PCC_KW_8_RF,1.0,1.0,0.7148,0.7803
Mean_PCC_KW_8_LR,0.6609,0.7691,0.6427,0.7384
Mean_PCC_KW_8_AB,0.7082,0.7972,0.6924,0.7764
Mean_PCC_KW_8_DT,1.0,1.0,0.6357,0.6098
Mean_PCC_KW_8_NB,0.6593,0.7422,0.6421,0.719
Mean_PCC_KW_9_SVM,0.6683,0.7634,0.6444,0.7291
Mean_PCC_KW_9_LDA,0.6603,0.7556,0.6406,0.7191
Mean_PCC_KW_9_AE,0.6944,0.7808,0.6674,0.7519
Mean_PCC_KW_9_RF,1.0,1.0,0.7224,0.7867
Mean_PCC_KW_9_LR,0.6971,0.772,0.67,0.74
Mean_PCC_KW_9_AB,0.7005,0.8004,0.6755,0.7738
Mean_PCC_KW_9_DT,1.0,1.0,0.6502,0.6242
Mean_PCC_KW_9_NB,0.6602,0.7458,0.644,0.7202
Mean_PCC_KW_10_SVM,0.6818,0.7653,0.6527,0.7284
Mean_PCC_KW_10_LDA,0.6657,0.7559,0.6451,0.719
Mean_PCC_KW_10_AE,0.6969,0.785,0.6617,0.7529
Mean_PCC_KW_10_RF,1.0,1.0,0.7242,0.7961
Mean_PCC_KW_10_LR,0.6807,0.7727,0.6596,0.7402
Mean_PCC_KW_10_AB,0.7239,0.8093,0.705,0.7821
Mean_PCC_KW_10_DT,1.0,1.0,0.6538,0.6237
Mean_PCC_KW_10_NB,0.6753,0.7497,0.651,0.7237
Mean_PCC_KW_11_SVM,0.683,0.7653,0.6549,0.7283
Mean_PCC_KW_11_LDA,0.6645,0.7561,0.6429,0.72
Mean_PCC_KW_11_AE,0.7023,0.7881,0.6689,0.7562
Mean_PCC_KW_11_RF,1.0,1.0,0.7286,0.7978
Mean_PCC_KW_11_LR,0.6854,0.7729,0.6628,0.7404
Mean_PCC_KW_11_AB,0.7131,0.8089,0.6896,0.7799
Mean_PCC_KW_11_DT,1.0,1.0,0.6495,0.6219
Mean_PCC_KW_11_NB,0.6723,0.7476,0.647,0.7221
Mean_PCC_KW_12_SVM,0.6797,0.7662,0.651,0.7287
Mean_PCC_KW_12_LDA,0.6676,0.7574,0.6449,0.72
Mean_PCC_KW_12_AE,0.7073,0.793,0.6766,0.7623
Mean_PCC_KW_12_RF,1.0,1.0,0.7263,0.8011
Mean_PCC_KW_12_LR,0.6823,0.7743,0.6574,0.7413
Mean_PCC_KW_12_AB,0.7256,0.8091,0.7003,0.7803
Mean_PCC_KW_12_DT,1.0,1.0,0.66,0.6324
Mean_PCC_KW_12_NB,0.6719,0.7465,0.6474,0.7205
Mean_PCC_KW_13_SVM,0.6795,0.7661,0.651,0.7288
Mean_PCC_KW_13_LDA,0.6619,0.7578,0.6414,0.7209
Mean_PCC_KW_13_AE,0.7133,0.7953,0.6866,0.7667
Mean_PCC_KW_13_RF,1.0,1.0,0.7246,0.8034
Mean_PCC_KW_13_LR,0.6962,0.7757,0.6664,0.7448
Mean_PCC_KW_13_AB,0.7069,0.8096,0.6881,0.7807
Mean_PCC_KW_13_DT,1.0,1.0,0.6625,0.6344
Mean_PCC_KW_13_NB,0.671,0.7478,0.6493,0.7206
Mean_PCC_KW_14_SVM,0.6785,0.7662,0.6493,0.7287
Mean_PCC_KW_14_LDA,0.662,0.7579,0.6421,0.7209
Mean_PCC_KW_14_AE,0.717,0.7974,0.6915,0.768
Mean_PCC_KW_14_RF,1.0,1.0,0.7299,0.8012
Mean_PCC_KW_14_LR,0.6984,0.7759,0.6689,0.7443
Mean_PCC_KW_14_AB,0.727,0.8102,0.7065,0.7821
Mean_PCC_KW_14_DT,1.0,1.0,0.6696,0.6407
Mean_PCC_KW_14_NB,0.6689,0.7495,0.6457,0.7205
Mean_PCC_KW_15_SVM,0.6769,0.7687,0.6476,0.7292
Mean_PCC_KW_15_LDA,0.6654,0.7621,0.638,0.7229
Mean_PCC_KW_15_AE,0.7131,0.806,0.683,0.776
Mean_PCC_KW_15_RF,1.0,1.0,0.7282,0.8019
Mean_PCC_KW_15_LR,0.6846,0.78,0.6549,0.746
Mean_PCC_KW_15_AB,0.7285,0.8122,0.7018,0.7785
Mean_PCC_KW_15_DT,1.0,1.0,0.6613,0.6303
Mean_PCC_KW_15_NB,0.6718,0.7492,0.6459,0.7197
Mean_PCC_KW_16_SVM,0.6772,0.7683,0.6485,0.7285
Mean_PCC_KW_16_LDA,0.6703,0.7628,0.6442,0.724
Mean_PCC_KW_16_AE,0.7157,0.8057,0.6858,0.7743
Mean_PCC_KW_16_RF,1.0,1.0,0.734,0.8046
Mean_PCC_KW_16_LR,0.6907,0.7803,0.6619,0.7466
Mean_PCC_KW_16_AB,0.7217,0.8129,0.6911,0.7805
Mean_PCC_KW_16_DT,1.0,1.0,0.6568,0.6264
Mean_PCC_KW_16_NB,0.6694,0.7442,0.648,0.7161
Mean_PCC_KW_17_SVM,0.6757,0.7685,0.6485,0.7288
Mean_PCC_KW_17_LDA,0.6707,0.7628,0.6446,0.724
Mean_PCC_KW_17_AE,0.7108,0.7986,0.6766,0.7641
Mean_PCC_KW_17_RF,1.0,1.0,0.7295,0.8029
Mean_PCC_KW_17_LR,0.6907,0.7802,0.6617,0.7466
Mean_PCC_KW_17_AB,0.7301,0.8129,0.7016,0.7804
Mean_PCC_KW_17_DT,1.0,1.0,0.6643,0.6367
Mean_PCC_KW_17_NB,0.672,0.7444,0.6483,0.7161
Mean_PCC_KW_18_SVM,0.6761,0.7685,0.6483,0.7293
Mean_PCC_KW_18_LDA,0.6718,0.7629,0.6466,0.7259
Mean_PCC_KW_18_AE,0.7093,0.8046,0.679,0.774
Mean_PCC_KW_18_RF,1.0,1.0,0.7316,0.8024
Mean_PCC_KW_18_LR,0.6902,0.7804,0.6602,0.7483
Mean_PCC_KW_18_AB,0.7238,0.8145,0.6992,0.781
Mean_PCC_KW_18_DT,1.0,1.0,0.6711,0.6421
Mean_PCC_KW_18_NB,0.6713,0.7435,0.6483,0.7148
Mean_PCC_KW_19_SVM,0.6712,0.7691,0.644,0.7289
Mean_PCC_KW_19_LDA,0.6721,0.7633,0.6468,0.7256
Mean_PCC_KW_19_AE,0.7252,0.8026,0.6898,0.7707
Mean_PCC_KW_19_RF,1.0,1.0,0.7386,0.8076
Mean_PCC_KW_19_LR,0.6888,0.7808,0.6579,0.7484
Mean_PCC_KW_19_AB,0.734,0.8138,0.7026,0.7827
Mean_PCC_KW_19_DT,1.0,1.0,0.6717,0.6437
Mean_PCC_KW_19_NB,0.6696,0.7419,0.648,0.7137
Mean_PCC_KW_20_SVM,0.679,0.7691,0.6504,0.729
Mean_PCC_KW_20_LDA,0.6722,0.7633,0.6463,0.7257
Mean_PCC_KW_20_AE,0.7197,0.8076,0.69,0.7789
Mean_PCC_KW_20_RF,1.0,1.0,0.741,0.8086
Mean_PCC_KW_20_LR,0.6888,0.7808,0.6585,0.7483
Mean_PCC_KW_20_AB,0.734,0.8138,0.7026,0.7827
Mean_PCC_KW_20_DT,1.0,1.0,0.6647,0.6381
Mean_PCC_KW_20_NB,0.6695,0.7417,0.6476,0.7133
Mean_PCC_KW_21_SVM,0.6689,0.7693,0.6417,0.7289
Mean_PCC_KW_21_LDA,0.665,0.7644,0.6434,0.7264
Mean_PCC_KW_21_AE,0.7285,0.8158,0.703,0.7898
Mean_PCC_KW_21_RF,1.0,1.0,0.7436,0.8079
Mean_PCC_KW_21_LR,0.6883,0.7816,0.6585,0.7485
Mean_PCC_KW_21_AB,0.7243,0.8155,0.6977,0.7816
Mean_PCC_KW_21_DT,1.0,1.0,0.6602,0.6318
Mean_PCC_KW_21_NB,0.6698,0.7413,0.6459,0.7129
Mean_PCC_KW_22_SVM,0.6731,0.7761,0.6483,0.7357
Mean_PCC_KW_22_LDA,0.68,0.7742,0.6523,0.7375
Mean_PCC_KW_22_AE,0.7044,0.8118,0.6706,0.7784
Mean_PCC_KW_22_RF,1.0,1.0,0.7472,0.8123
Mean_PCC_KW_22_LR,0.6861,0.7874,0.6649,0.7553
Mean_PCC_KW_22_AB,0.7149,0.8204,0.6834,0.7852
Mean_PCC_KW_22_DT,1.0,1.0,0.6719,0.6492
Mean_PCC_KW_22_NB,0.6709,0.746,0.647,0.7188
Mean_PCC_KW_23_SVM,0.6847,0.7767,0.657,0.7378
Mean_PCC_KW_23_LDA,0.6777,0.7744,0.6519,0.7386
Mean_PCC_KW_23_AE,0.7122,0.8148,0.6777,0.7806
Mean_PCC_KW_23_RF,1.0,1.0,0.7467,0.8179
Mean_PCC_KW_23_LR,0.6907,0.7874,0.6685,0.7571
Mean_PCC_KW_23_AB,0.7188,0.8223,0.6945,0.7908
Mean_PCC_KW_23_DT,1.0,1.0,0.6775,0.6559
Mean_PCC_KW_23_NB,0.6551,0.7457,0.6402,0.7227
Mean_PCC_KW_24_SVM,0.7017,0.7855,0.6709,0.7512
Mean_PCC_KW_24_LDA,0.6977,0.7804,0.6632,0.7467
Mean_PCC_KW_24_AE,0.7066,0.8153,0.6777,0.785
Mean_PCC_KW_24_RF,1.0,1.0,0.7393,0.8186
Mean_PCC_KW_24_LR,0.7023,0.7966,0.6773,0.7707
Mean_PCC_KW_24_AB,0.7226,0.8232,0.6988,0.7915
Mean_PCC_KW_24_DT,1.0,1.0,0.6802,0.6576
Mean_PCC_KW_24_NB,0.6529,0.7431,0.6385,0.7191
Mean_PCC_KW_25_SVM,0.7027,0.7856,0.6715,0.7515
Mean_PCC_KW_25_LDA,0.6951,0.7798,0.6617,0.7463
Mean_PCC_KW_25_AE,0.725,0.8167,0.7007,0.787
Mean_PCC_KW_25_RF,1.0,1.0,0.7389,0.8189
Mean_PCC_KW_25_LR,0.7007,0.7976,0.6781,0.7716
Mean_PCC_KW_25_AB,0.7231,0.8231,0.7007,0.7921
Mean_PCC_KW_25_DT,1.0,1.0,0.673,0.6514
Mean_PCC_KW_25_NB,0.6494,0.742,0.6385,0.719
Mean_PCC_KW_26_SVM,0.7016,0.7856,0.6696,0.7515
Mean_PCC_KW_26_LDA,0.6914,0.781,0.6615,0.7482
Mean_PCC_KW_26_AE,0.7345,0.8181,0.7075,0.7873
Mean_PCC_KW_26_RF,1.0,1.0,0.7372,0.8188
Mean_PCC_KW_26_LR,0.7122,0.7987,0.6886,0.772
Mean_PCC_KW_26_AB,0.723,0.8231,0.7005,0.7918
Mean_PCC_KW_26_DT,1.0,1.0,0.6687,0.6471
Mean_PCC_KW_26_NB,0.6457,0.7426,0.6342,0.7197
Mean_PCC_KW_27_SVM,0.7013,0.7857,0.6702,0.7515
Mean_PCC_KW_27_LDA,0.692,0.7811,0.6623,0.7485
Mean_PCC_KW_27_AE,0.7259,0.8152,0.6979,0.7839
Mean_PCC_KW_27_RF,1.0,1.0,0.7391,0.8196
Mean_PCC_KW_27_LR,0.7127,0.7988,0.6892,0.7724
Mean_PCC_KW_27_AB,0.7367,0.8237,0.7163,0.794
Mean_PCC_KW_27_DT,1.0,1.0,0.6741,0.6477
Mean_PCC_KW_27_NB,0.6455,0.7424,0.6342,0.7189
Mean_PCC_KW_28_SVM,0.7017,0.7859,0.6715,0.7518
Mean_PCC_KW_28_LDA,0.6923,0.7812,0.6619,0.7488
Mean_PCC_KW_28_AE,0.7219,0.8178,0.6924,0.7868
Mean_PCC_KW_28_RF,1.0,1.0,0.7423,0.8198
Mean_PCC_KW_28_LR,0.7111,0.7991,0.6854,0.7718
Mean_PCC_KW_28_AB,0.7245,0.822,0.702,0.7926
Mean_PCC_KW_28_DT,1.0,1.0,0.6877,0.6647
Mean_PCC_KW_28_NB,0.6488,0.7422,0.6363,0.719
Mean_PCC_KW_29_SVM,0.6823,0.7859,0.6574,0.7516
Mean_PCC_KW_29_LDA,0.6951,0.7813,0.6619,0.7486
Mean_PCC_KW_29_AE,0.7153,0.8177,0.6937,0.7875
Mean_PCC_KW_29_RF,1.0,1.0,0.7386,0.8205
Mean_PCC_KW_29_LR,0.7109,0.799,0.6841,0.7714
Mean_PCC_KW_29_AB,0.7245,0.822,0.702,0.7926
Mean_PCC_KW_29_DT,1.0,1.0,0.6753,0.6526
Mean_PCC_KW_29_NB,0.6485,0.7419,0.6363,0.7189
Mean_PCC_KW_30_SVM,0.6984,0.7855,0.6683,0.751
Mean_PCC_KW_30_LDA,0.6932,0.7813,0.666,0.7486
Mean_PCC_KW_30_AE,0.754,0.8407,0.7199,0.8067
Mean_PCC_KW_30_RF,1.0,1.0,0.7421,0.8187
Mean_PCC_KW_30_LR,0.7105,0.7989,0.6836,0.7712
Mean_PCC_KW_30_AB,0.7327,0.8233,0.7045,0.7913
Mean_PCC_KW_30_DT,1.0,1.0,0.6762,0.6535
Mean_PCC_KW_30_NB,0.6494,0.7404,0.6393,0.7183
Mean_PCC_KW_31_SVM,0.7075,0.7889,0.6749,0.7541
Mean_PCC_KW_31_LDA,0.699,0.784,0.6696,0.7496
Mean_PCC_KW_31_AE,0.7476,0.8388,0.7163,0.805
Mean_PCC_KW_31_RF,1.0,1.0,0.7391,0.8229
Mean_PCC_KW_31_LR,0.719,0.8019,0.6905,0.7727
Mean_PCC_KW_31_AB,0.7361,0.8257,0.7099,0.7953
Mean_PCC_KW_31_DT,1.0,1.0,0.6783,0.6536
Mean_PCC_KW_31_NB,0.6455,0.7381,0.6376,0.7164
Mean_PCC_KW_32_SVM,0.7077,0.789,0.6745,0.7539
Mean_PCC_KW_32_LDA,0.6991,0.784,0.6696,0.75
Mean_PCC_KW_32_AE,0.7275,0.8255,0.6954,0.7936
Mean_PCC_KW_32_RF,1.0,1.0,0.7482,0.8229
Mean_PCC_KW_32_LR,0.719,0.8017,0.6896,0.7723
Mean_PCC_KW_32_AB,0.7405,0.8257,0.7124,0.7958
Mean_PCC_KW_32_DT,1.0,1.0,0.6751,0.6495
Mean_PCC_KW_32_NB,0.6454,0.7379,0.6374,0.7162
Mean_PCC_KW_33_SVM,0.7058,0.7891,0.673,0.7544
Mean_PCC_KW_33_LDA,0.7002,0.7842,0.6672,0.7503
Mean_PCC_KW_33_AE,0.7521,0.8403,0.7216,0.8046
Mean_PCC_KW_33_RF,1.0,1.0,0.7355,0.8212
Mean_PCC_KW_33_LR,0.7181,0.8016,0.6881,0.772
Mean_PCC_KW_33_AB,0.7349,0.8263,0.703,0.7936
Mean_PCC_KW_33_DT,1.0,1.0,0.6698,0.6451
Mean_PCC_KW_33_NB,0.6442,0.735,0.6363,0.7134
Mean_PCC_KW_34_SVM,0.7048,0.7898,0.6709,0.753
Mean_PCC_KW_34_LDA,0.6988,0.7848,0.6704,0.7487
Mean_PCC_KW_34_AE,0.7265,0.8272,0.6939,0.7912
Mean_PCC_KW_34_RF,1.0,1.0,0.7418,0.8224
Mean_PCC_KW_34_LR,0.7126,0.8019,0.6822,0.7705
Mean_PCC_KW_34_AB,0.7295,0.8267,0.7018,0.7945
Mean_PCC_KW_34_DT,1.0,1.0,0.6755,0.6509
Mean_PCC_KW_34_NB,0.6436,0.7353,0.6353,0.7132
Mean_PCC_KW_35_SVM,0.7056,0.7906,0.67,0.7533
Mean_PCC_KW_35_LDA,0.6993,0.7858,0.6625,0.7489
Mean_PCC_KW_35_AE,0.7278,0.8293,0.6952,0.794
Mean_PCC_KW_35_RF,1.0,1.0,0.7423,0.8227
Mean_PCC_KW_35_LR,0.7183,0.8023,0.6881,0.7704
Mean_PCC_KW_35_AB,0.7295,0.8267,0.7018,0.7945
Mean_PCC_KW_35_DT,1.0,1.0,0.676,0.6511
Mean_PCC_KW_35_NB,0.6367,0.7357,0.6321,0.7132
Mean_PCC_KW_36_SVM,0.7061,0.7907,0.6713,0.7534
Mean_PCC_KW_36_LDA,0.699,0.7861,0.664,0.7493
Mean_PCC_KW_36_AE,0.7457,0.8373,0.7137,0.799
Mean_PCC_KW_36_RF,1.0,1.0,0.7399,0.8227
Mean_PCC_KW_36_LR,0.7186,0.8024,0.689,0.7704
Mean_PCC_KW_36_AB,0.7295,0.8267,0.7018,0.7945
Mean_PCC_KW_36_DT,1.0,1.0,0.68,0.6519
Mean_PCC_KW_36_NB,0.646,0.7341,0.6402,0.7134
Mean_PCC_KW_37_SVM,0.6909,0.7909,0.6625,0.7529
Mean_PCC_KW_37_LDA,0.6786,0.7874,0.6515,0.7492
Mean_PCC_KW_37_AE,0.7295,0.828,0.6909,0.7896
Mean_PCC_KW_37_RF,1.0,1.0,0.7425,0.8235
Mean_PCC_KW_37_LR,0.7131,0.8025,0.6845,0.7694
Mean_PCC_KW_37_AB,0.7295,0.8267,0.7018,0.7945
Mean_PCC_KW_37_DT,1.0,1.0,0.6819,0.653
Mean_PCC_KW_37_NB,0.6426,0.7334,0.6353,0.713
Mean_PCC_KW_38_SVM,0.6965,0.7907,0.6681,0.753
Mean_PCC_KW_38_LDA,0.6795,0.7874,0.6521,0.7492
Mean_PCC_KW_38_AE,0.7398,0.8312,0.7048,0.7933
Mean_PCC_KW_38_RF,1.0,1.0,0.734,0.8235
Mean_PCC_KW_38_LR,0.7252,0.8024,0.6932,0.7697
Mean_PCC_KW_38_AB,0.7294,0.8264,0.7013,0.7946
Mean_PCC_KW_38_DT,1.0,1.0,0.673,0.6442
Mean_PCC_KW_38_NB,0.6188,0.7332,0.6182,0.7121
Mean_PCC_KW_39_SVM,0.7004,0.7921,0.6698,0.7551
Mean_PCC_KW_39_LDA,0.6939,0.7883,0.6619,0.7505
Mean_PCC_KW_39_AE,0.7522,0.8456,0.7163,0.8041
Mean_PCC_KW_39_RF,1.0,1.0,0.7427,0.824
Mean_PCC_KW_39_LR,0.7019,0.8028,0.6721,0.77
Mean_PCC_KW_39_AB,0.7344,0.8268,0.7048,0.7958
Mean_PCC_KW_39_DT,1.0,1.0,0.6809,0.6536
Mean_PCC_KW_39_NB,0.6185,0.7315,0.6184,0.7107
Mean_PCC_KW_40_SVM,0.7082,0.795,0.6755,0.7582
Mean_PCC_KW_40_LDA,0.6882,0.7906,0.6617,0.7524
Mean_PCC_KW_40_AE,0.7397,0.8398,0.7124,0.8036
Mean_PCC_KW_40_RF,1.0,1.0,0.7463,0.8247
Mean_PCC_KW_40_LR,0.7161,0.8044,0.6877,0.771
Mean_PCC_KW_40_AB,0.7317,0.827,0.7048,0.7973
Mean_PCC_KW_40_DT,1.0,1.0,0.6836,0.6559
Mean_PCC_KW_40_NB,0.6171,0.7316,0.6165,0.7112
Mean_PCC_RFE_1_SVM,0.6468,0.7234,0.6242,0.6837
Mean_PCC_RFE_1_LDA,0.6468,0.7233,0.6242,0.6836
Mean_PCC_RFE_1_AE,0.6467,0.7233,0.6242,0.6836
Mean_PCC_RFE_1_RF,0.9925,0.9997,0.5933,0.614
Mean_PCC_RFE_1_LR,0.6467,0.7233,0.6244,0.6836
Mean_PCC_RFE_1_AB,0.64,0.7256,0.6148,0.6795
Mean_PCC_RFE_1_DT,0.9924,0.9999,0.5939,0.5647
Mean_PCC_RFE_1_NB,0.6794,0.6628,0.6566,0.6402
Mean_PCC_RFE_2_SVM,0.6605,0.7221,0.6348,0.6799
Mean_PCC_RFE_2_LDA,0.6456,0.7132,0.6142,0.6682
Mean_PCC_RFE_2_AE,0.6639,0.7192,0.6323,0.6755
Mean_PCC_RFE_2_RF,1.0,1.0,0.6355,0.6536
Mean_PCC_RFE_2_LR,0.6458,0.7137,0.6137,0.6688
Mean_PCC_RFE_2_AB,0.6677,0.7263,0.6412,0.6813
Mean_PCC_RFE_2_DT,1.0,1.0,0.605,0.5759
Mean_PCC_RFE_2_NB,0.6615,0.6958,0.6261,0.6554
Mean_PCC_RFE_3_SVM,0.6548,0.7206,0.6299,0.6812
Mean_PCC_RFE_3_LDA,0.6368,0.713,0.6022,0.6676
Mean_PCC_RFE_3_AE,0.6258,0.7121,0.6046,0.6748
Mean_PCC_RFE_3_RF,1.0,1.0,0.6498,0.678
Mean_PCC_RFE_3_LR,0.6386,0.7135,0.6033,0.6682
Mean_PCC_RFE_3_AB,0.664,0.727,0.6346,0.6822
